year,zip_code,population,crimes_count,victims_count,unemployment_rate,cars_count,vans_count,campers_or_rvs_count,tents_count,homeless_individuals_count,median_gross_rent,median_income,below_poverty_level_individuals_count,housing_units_count,owner_occupied_housing_units_count,renter_occupied_housing_units_count,gender_majority,age_majority,ethnicity_majority
2012,90001,54480.0,764.0,627.0,10.6,9.0,7.0,12.0,6.0,111.0,950.0,35658.0,16602.0,12832.0,4604.0,8228.0,female,age_below_24,hispanic
2012,90002,48613.0,2336.0,2066.0,10.0,11.0,4.0,13.0,6.0,121.0,940.0,32299.0,15737.0,11617.0,4539.0,7078.0,female,age_below_24,hispanic
2012,90003,67226.0,5865.0,5012.0,14.2,24.0,43.0,46.0,18.0,344.0,999.0,29174.0,26033.0,16399.0,5259.0,11140.0,female,age_below_24,hispanic
2012,90004,62884.0,2963.0,2463.0,12.6,21.0,24.0,10.0,1.0,103.0,1040.0,38430.0,14191.0,23101.0,4124.0,18977.0,male,age_between_25_44,other_races
2012,90005,39592.0,1588.0,1338.0,11.0,14.0,10.0,3.0,1.0,86.0,920.0,32086.0,10524.0,15224.0,1297.0,13927.0,male,age_between_25_44,other_races
2012,90006,58849.0,2676.0,2177.0,13.3,2.0,15.0,15.0,7.0,52.0,897.0,30260.0,18496.0,18404.0,1528.0,16876.0,male,age_below_24,hispanic
2012,90007,43653.0,2727.0,2333.0,13.1,23.0,11.0,5.0,1.0,40.0,963.0,22047.0,16623.0,11361.0,1379.0,9982.0,female,age_below_24,hispanic
2012,90008,33754.0,2862.0,2502.0,13.9,11.0,10.0,20.0,1.0,132.0,1000.0,39661.0,8482.0,14085.0,4865.0,9220.0,female,age_above_45,black
2012,90010,3835.0,814.0,583.0,8.2,10.0,9.0,1.0,1.0,84.0,1633.0,53353.0,665.0,2109.0,421.0,1688.0,female,age_between_25_44,other_races
2012,90011,100671.0,4652.0,3685.0,9.7,44.0,51.0,43.0,41.0,453.0,964.0,30198.0,42456.0,21919.0,6210.0,15709.0,male,age_below_24,hispanic
2012,90012,29164.0,1698.0,1446.0,7.6,4.0,4.0,14.0,92.0,611.0,975.0,26094.0,7359.0,9451.0,1235.0,8216.0,male,age_between_25_44,other_races
2012,90013,9318.0,2445.0,2199.0,18.4,10.0,17.0,18.0,154.0,799.0,536.0,17072.0,4520.0,5030.0,638.0,4392.0,male,age_above_45,white
2012,90014,5556.0,1073.0,944.0,13.7,13.0,2.0,16.0,101.0,568.0,441.0,12358.0,2687.0,3972.0,378.0,3594.0,male,age_above_45,white
2012,90015,17668.0,2659.0,2236.0,12.3,12.0,19.0,16.0,94.0,611.0,794.0,26579.0,6068.0,6957.0,866.0,6091.0,male,age_between_25_44,hispanic
2012,90016,46779.0,2637.0,2329.0,12.0,6.0,19.0,30.0,3.0,96.0,1023.0,36266.0,10223.0,17051.0,5959.0,11092.0,female,age_below_24,hispanic
2012,90017,23171.0,1979.0,1722.0,8.1,3.0,11.0,8.0,14.0,235.0,823.0,21576.0,11607.0,9135.0,295.0,8840.0,male,age_below_24,hispanic
2012,90018,48497.0,2543.0,2233.0,14.7,6.0,19.0,16.0,3.0,71.0,954.0,35178.0,13309.0,15300.0,4481.0,10819.0,female,age_below_24,hispanic
2012,90019,64613.0,2879.0,2538.0,10.7,5.0,11.0,26.0,4.0,38.0,1113.0,41261.0,14977.0,23964.0,6243.0,17721.0,female,age_above_45,hispanic
2012,90020,41086.0,1235.0,999.0,13.0,13.0,16.0,5.0,11.0,70.0,1099.0,38575.0,7317.0,16808.0,1564.0,15244.0,female,age_between_25_44,other_races
2012,90021,2664.0,1319.0,946.0,20.0,9.0,14.0,24.0,93.0,296.0,441.0,13504.0,1100.0,1492.0,125.0,1367.0,male,age_above_45,hispanic
2012,90023,45663.0,1365.0,837.0,9.8,1.0,16.0,22.0,16.0,92.0,972.0,33875.0,14994.0,10814.0,2714.0,8100.0,male,age_below_24,hispanic
2012,90024,50269.0,1037.0,973.0,9.3,4.0,3.0,3.0,1.0,8.0,1772.0,61868.0,11727.0,17520.0,5677.0,11843.0,female,age_below_24,white
2012,90025,42932.0,1959.0,1767.0,7.6,16.0,15.0,21.0,1.0,56.0,1540.0,72625.0,4878.0,20954.0,5373.0,15581.0,male,age_between_25_44,white
2012,90026,69615.0,3102.0,2569.0,14.3,14.0,16.0,14.0,5.0,71.0,1038.0,44901.0,15043.0,25295.0,5422.0,19873.0,male,age_between_25_44,white
2012,90027,45702.0,2407.0,1941.0,10.7,4.0,11.0,11.0,2.0,104.0,1149.0,47210.0,8924.0,21691.0,4666.0,17025.0,male,age_above_45,white
2012,90028,28254.0,4177.0,3331.0,12.6,18.0,18.0,25.0,3.0,316.0,1060.0,30393.0,7948.0,14959.0,687.0,14272.0,male,age_between_25_44,white
2012,90029,39437.0,1766.0,1488.0,13.3,21.0,32.0,16.0,3.0,106.0,954.0,35502.0,10369.0,13961.0,1228.0,12733.0,male,age_between_25_44,hispanic
2012,90031,39990.0,1369.0,975.0,13.5,8.0,18.0,18.0,4.0,21.0,956.0,33019.0,12641.0,11136.0,3273.0,7863.0,female,age_below_24,hispanic
2012,90032,49242.0,1523.0,1127.0,15.8,2.0,9.0,16.0,3.0,5.0,1028.0,46695.0,9287.0,12921.0,6411.0,6510.0,female,age_below_24,hispanic
2012,90033,49048.0,2156.0,1584.0,17.1,6.0,30.0,26.0,23.0,123.0,889.0,28773.0,16332.0,12753.0,2306.0,10447.0,female,age_below_24,hispanic
2012,90034,59305.0,2051.0,1711.0,8.5,6.0,2.0,14.0,2.0,21.0,1363.0,56930.0,9595.0,25877.0,5175.0,20702.0,male,age_between_25_44,white
2012,90035,30553.0,1275.0,1163.0,11.0,1.0,2.0,5.0,3.0,16.0,1616.0,73161.0,2657.0,13271.0,4406.0,8865.0,female,age_above_45,white
2012,90036,35942.0,2136.0,1887.0,9.0,3.0,4.0,8.0,2.0,82.0,1774.0,72264.0,4154.0,18334.0,2702.0,15632.0,female,age_between_25_44,white
2012,90037,60867.0,4151.0,3553.0,15.9,23.0,15.0,8.0,3.0,105.0,898.0,27072.0,24214.0,16366.0,4030.0,12336.0,female,age_below_24,hispanic
2012,90038,30225.0,1756.0,1466.0,14.1,14.0,20.0,24.0,1.0,117.0,1013.0,35700.0,7951.0,12252.0,948.0,11304.0,male,age_between_25_44,hispanic
2012,90039,28260.0,1219.0,927.0,9.7,8.0,4.0,10.0,5.0,17.0,1248.0,64073.0,3928.0,11804.0,4811.0,6993.0,male,age_between_25_44,white
2012,90041,28571.0,1193.0,862.0,10.5,14.0,20.0,18.0,2.0,28.0,1199.0,64820.0,3525.0,9497.0,4830.0,4667.0,female,age_above_45,white
2012,90042,62303.0,2357.0,1885.0,13.0,5.0,12.0,28.0,7.0,19.0,1087.0,51437.0,10476.0,19798.0,8823.0,10975.0,female,age_below_24,hispanic
2012,90043,43761.0,2695.0,2427.0,14.3,5.0,6.0,6.0,1.0,88.0,1013.0,42043.0,9514.0,16318.0,8129.0,8189.0,female,age_above_45,black
2012,90044,85940.0,4726.0,4177.0,13.5,30.0,55.0,57.0,13.0,214.0,961.0,29481.0,27753.0,25526.0,8182.0,17344.0,female,age_below_24,hispanic
2012,90045,40535.0,2831.0,2152.0,7.9,16.0,22.0,51.0,1.0,66.0,1647.0,79913.0,4348.0,15312.0,8249.0,7063.0,female,age_above_45,white
2012,90046,49937.0,1545.0,1339.0,10.5,6.0,10.0,3.0,3.0,96.0,1340.0,52593.0,8131.0,28793.0,6173.0,22620.0,male,age_between_25_44,white
2012,90047,47857.0,2898.0,2523.0,15.2,17.0,37.0,35.0,2.0,83.0,979.0,43034.0,9521.0,16459.0,9190.0,7269.0,female,age_above_45,black
2012,90048,20793.0,1071.0,934.0,8.1,1.0,2.0,1.0,3.0,41.0,1639.0,75472.0,1900.0,11284.0,3478.0,7806.0,female,age_between_25_44,white
2012,90049,36107.0,1147.0,1082.0,5.9,6.0,6.0,1.0,5.0,14.0,1817.0,113792.0,2101.0,16643.0,9254.0,7389.0,female,age_above_45,white
2012,90056,8628.0,18.0,18.0,10.8,6.0,5.0,4.0,1.0,9.0,1589.0,85347.0,397.0,3769.0,2355.0,1414.0,female,age_above_45,black
2012,90057,44871.0,2529.0,2245.0,13.3,11.0,7.0,14.0,13.0,107.0,874.0,27854.0,15529.0,15764.0,625.0,15139.0,male,age_between_25_44,other_races
2012,90058,3289.0,264.0,189.0,19.4,12.0,33.0,31.0,46.0,168.0,695.0,17355.0,1745.0,973.0,106.0,867.0,female,age_below_24,hispanic
2012,90059,40305.0,1787.0,1586.0,16.8,7.0,3.0,10.0,6.0,96.0,935.0,33605.0,13979.0,9563.0,4100.0,5463.0,female,age_below_24,hispanic
2012,90061,26621.0,1665.0,1459.0,17.2,5.0,2.0,9.0,21.0,29.0,1029.0,35380.0,8109.0,7173.0,2869.0,4304.0,female,age_below_24,hispanic
2012,90062,31569.0,2277.0,1976.0,14.1,7.0,9.0,8.0,2.0,74.0,993.0,33951.0,8345.0,9145.0,3957.0,5188.0,female,age_below_24,hispanic
2012,90063,53994.0,440.0,319.0,13.3,1.0,7.0,10.0,3.0,17.0,964.0,38801.0,13738.0,13245.0,4945.0,8300.0,male,age_below_24,hispanic
2012,90064,25894.0,1549.0,1350.0,5.8,10.0,12.0,21.0,2.0,22.0,1615.0,81240.0,2474.0,10574.0,5829.0,4745.0,female,age_above_45,white
2012,90065,45816.0,1768.0,1385.0,8.7,1.0,13.0,19.0,8.0,18.0,1055.0,55885.0,8555.0,14652.0,7360.0,7292.0,male,age_above_45,hispanic
2012,90066,56107.0,1658.0,1426.0,8.1,19.0,33.0,48.0,2.0,22.0,1359.0,65916.0,6631.0,24110.0,9544.0,14566.0,female,age_between_25_44,white
2012,90067,2257.0,133.0,123.0,8.7,5.0,1.0,3.0,2.0,2.0,2564.0,82714.0,320.0,1470.0,1111.0,359.0,female,age_above_45,white
2012,90068,22270.0,1188.0,1029.0,10.3,9.0,7.0,6.0,1.0,67.0,1409.0,70248.0,2488.0,12514.0,5449.0,7065.0,male,age_between_25_44,white
2012,90069,20328.0,251.0,229.0,8.1,1.0,1.0,1.0,1.0,29.0,1509.0,75959.0,2210.0,13369.0,5037.0,8332.0,male,age_above_45,white
2012,90077,8262.0,221.0,209.0,6.4,1.0,2.0,1.0,1.0,1.0,1847.0,182270.0,212.0,3195.0,2865.0,330.0,female,age_above_45,white
2012,90089,3402.0,476.0,439.0,7.5,2.0,1.0,3.0,26.0,16.0,925.0,9926.0,72.0,33.0,0.0,33.0,female,age_below_24,white
