year,zip_code,below_poverty_level_individuals_count,below_poverty_level_individuals_count_male,below_poverty_level_individuals_count_female,below_poverty_level_individuals_count_age_below_24,below_poverty_level_individuals_count_age_between_25_44,below_poverty_level_individuals_count_age_above_45,below_poverty_level_individuals_count_white,below_poverty_level_individuals_count_black,below_poverty_level_individuals_count_hispanic,below_poverty_level_individuals_count_other_races
2012,90001,16602.0,7389.0,9213.0,7747.0,8370.0,485.0,11672.0,1617.0,14822.0,3313.0
2012,90002,15737.0,6964.0,8773.0,7607.0,7430.0,700.0,8489.0,5278.0,10165.0,1970.0
2012,90003,26033.0,11874.0,14159.0,11615.0,13437.0,981.0,8399.0,7000.0,18600.0,10634.0
2012,90004,14191.0,6743.0,7448.0,4383.0,8914.0,894.0,4454.0,703.0,9454.0,9034.0
2012,90005,10524.0,4822.0,5702.0,3604.0,5872.0,1048.0,2523.0,416.0,7221.0,7585.0
2012,90006,18496.0,8546.0,9950.0,7575.0,9652.0,1269.0,5036.0,738.0,15436.0,12722.0
2012,90007,16623.0,7751.0,8872.0,3481.0,12440.0,702.0,5300.0,1695.0,8511.0,9628.0
2012,90008,8482.0,3091.0,5391.0,3339.0,4353.0,790.0,1019.0,5424.0,2705.0,2039.0
2012,90010,665.0,217.0,448.0,48.0,446.0,171.0,37.0,8.0,85.0,620.0
2012,90011,42456.0,19654.0,22802.0,19242.0,22170.0,1044.0,8996.0,2947.0,39122.0,30513.0
2012,90012,7359.0,3092.0,4267.0,1532.0,4110.0,1717.0,963.0,200.0,2021.0,6196.0
2012,90013,4520.0,2752.0,1768.0,55.0,4099.0,366.0,1235.0,1981.0,1070.0,1304.0
2012,90014,2687.0,1620.0,1067.0,44.0,2096.0,547.0,812.0,1037.0,463.0,838.0
2012,90015,6068.0,2826.0,3242.0,1556.0,3886.0,626.0,1623.0,367.0,4594.0,4078.0
2012,90016,10223.0,4438.0,5785.0,3478.0,6064.0,681.0,2148.0,4637.0,5048.0,3438.0
2012,90017,11607.0,5797.0,5810.0,3668.0,7188.0,751.0,2636.0,651.0,9376.0,8320.0
2012,90018,13309.0,5559.0,7750.0,5208.0,7011.0,1090.0,1725.0,4286.0,8097.0,7298.0
2012,90019,14977.0,7009.0,7968.0,4941.0,8883.0,1153.0,6224.0,2850.0,9706.0,5903.0
2012,90020,7317.0,3051.0,4266.0,2100.0,4533.0,684.0,1942.0,268.0,3357.0,5107.0
2012,90021,1100.0,904.0,196.0,0.0,941.0,159.0,471.0,421.0,343.0,208.0
2012,90023,14994.0,6843.0,8151.0,6166.0,7911.0,917.0,4816.0,101.0,14482.0,10077.0
