year,zip_code,unemployment_rate,unemployment_rate_male,unemployment_rate_female,unemployment_rate_age_below_24,unemployment_rate_age_between_25_44,unemployment_rate_age_above_45,unemployment_rate_white,unemployment_rate_black,unemployment_rate_hispanic,unemployment_rate_other_races
2011,90001,10.0,8.9,10.1,32.599999999999994,8.7,33.4,7.1,17.5,9.2,193.89999999999998
2011,90002,8.9,7.2,9.3,42.400000000000006,7.5,20.700000000000003,6.8,12.1,8.3,321.6
2011,90003,12.0,9.7,14.0,37.6,11.1,39.89999999999999,6.0,22.3,9.2,219.9
2011,90004,11.2,9.8,11.8,50.1,9.8,49.0,8.7,16.5,12.5,244.3
2011,90005,11.2,8.9,13.0,49.6,9.2,35.7,8.7,13.4,7.9,330.6
2011,90006,12.3,8.2,14.4,61.1,10.6,50.5,10.7,23.9,11.8,339.1
2011,90007,12.2,11.7,11.5,34.3,10.8,57.9,12.0,19.2,12.1,170.70000000000002
2011,90008,12.6,12.7,10.7,81.8,10.1,20.3,16.9,12.6,12.7,245.8
2011,90010,9.3,2.3,17.1,100.0,9.2,19.7,3.6,0.0,11.4,169.0
2011,90011,9.0,6.7,10.7,43.2,7.3,22.799999999999997,12.8,19.0,8.0,241.10000000000002
2011,90012,7.8,7.5,7.5,45.4,7.3,20.3,5.8,5.4,9.0,160.0
2011,90013,20.9,19.6,23.3,131.4,17.8,92.0,19.7,28.7,36.9,208.60000000000002
2011,90014,14.4,18.2,9.4,0.0,10.7,54.7,9.1,22.1,19.6,203.5
2011,90015,10.7,8.1,13.5,43.2,7.3,35.699999999999996,12.5,7.7,12.4,167.4
2011,90016,11.7,9.5,13.1,45.8,9.4,43.7,8.7,17.6,8.2,314.5
2011,90017,8.2,5.3,10.9,41.400000000000006,7.0,19.700000000000003,10.2,18.6,7.4,227.60000000000002
2011,90018,12.9,12.7,12.7,49.8,12.0,24.5,13.2,16.3,11.1,280.4
2011,90019,10.1,9.3,9.3,56.099999999999994,9.2,25.2,10.6,12.2,9.6,305.4
2011,90020,11.0,7.6,13.6,64.9,9.2,34.0,6.1,8.9,12.3,269.9
2011,90021,19.2,22.8,13.5,26.9,7.6,54.7,16.1,34.1,10.6,181.0
2011,90023,8.1,4.8,10.1,50.8,5.9,49.0,9.8,27.5,7.7,189.89999999999998
2011,90024,9.1,7.8,7.3,32.0,6.2,17.9,9.8,10.4,13.0,159.9
2011,90025,7.5,7.5,6.7,49.0,6.1,31.200000000000003,6.4,16.4,9.8,262.1
2011,90026,13.4,13.5,12.4,53.5,11.6,36.9,13.8,26.4,13.2,295.9
2011,90027,9.5,10.1,8.5,38.8,9.2,35.89999999999999,10.8,4.5,9.0,303.5
2011,90028,11.2,11.1,9.7,32.4,9.8,88.5,10.5,20.5,10.6,361.5
2011,90029,11.9,9.5,12.7,58.4,11.0,33.8,12.6,29.0,12.9,190.89999999999998
2011,90031,11.8,9.7,11.0,65.7,9.4,34.8,14.8,28.6,13.3,271.9
2011,90032,13.0,11.8,12.6,46.3,11.3,42.0,13.1,12.8,13.7,276.7
2011,90033,14.4,11.8,14.0,62.4,10.8,35.1,13.3,18.2,14.4,282.7
2011,90034,7.8,7.0,7.3,69.9,6.0,27.6,7.2,8.0,8.2,265.90000000000003
2011,90035,10.3,10.0,10.6,37.8,9.6,38.2,9.0,25.5,9.7,253.8
2011,90036,7.6,8.2,7.1,31.0,7.2,24.5,7.4,13.3,6.3,312.1
2011,90037,15.5,14.7,14.8,58.6,14.6,21.9,13.6,26.6,13.1,204.89999999999998
2011,90038,13.8,11.4,15.0,54.900000000000006,11.8,39.099999999999994,11.3,22.9,13.9,255.5
2011,90039,10.4,8.7,11.9,43.1,9.2,40.10000000000001,10.9,13.5,9.1,303.7
2011,90041,8.1,10.0,5.6,22.5,7.2,37.8,8.6,2.2,11.8,192.00000000000003
2011,90042,11.1,9.2,11.0,60.5,9.7,44.099999999999994,10.7,17.9,12.8,284.5
2011,90043,13.0,12.9,13.3,51.3,12.9,20.5,10.4,13.9,10.4,297.1
2011,90044,12.9,12.6,11.1,55.0,11.3,28.0,10.6,16.3,10.4,313.40000000000003
2011,90045,7.6,7.6,6.6,25.9,6.7,26.200000000000003,6.3,13.7,6.4,278.29999999999995
2011,90046,10.1,10.0,9.9,29.400000000000002,9.3,42.8,9.8,21.2,7.7,225.9
2011,90047,13.3,14.2,11.5,64.5,11.6,28.699999999999996,11.2,15.1,10.4,149.0
2011,90048,7.1,6.7,6.5,37.6,5.7,48.1,7.6,12.1,3.9,254.2
2011,90049,5.7,5.3,6.3,12.100000000000001,4.6,23.199999999999996,6.0,0.0,3.2,227.5
2011,90056,5.7,5.2,4.9,54.9,6.1,20.7,2.5,5.6,12.9,337.2
2011,90057,11.8,7.2,13.8,61.8,8.3,63.0,12.0,18.1,12.1,219.1
2011,90058,20.3,17.4,16.6,106.9,17.7,89.30000000000001,19.7,25.2,22.1,187.3
2011,90059,15.7,13.9,14.2,63.9,12.5,88.80000000000001,11.9,20.4,12.6,206.5
2011,90061,14.3,9.5,16.3,62.4,13.6,141.9,11.1,19.9,11.3,169.89999999999998
2011,90062,13.2,11.7,13.7,53.5,13.0,21.700000000000003,7.2,19.2,9.7,336.79999999999995
2011,90063,11.4,10.3,11.3,48.2,8.3,46.099999999999994,11.6,31.9,11.3,263.1
2011,90064,6.1,5.5,5.7,32.4,6.2,26.200000000000003,6.2,28.3,8.5,160.20000000000002
2011,90065,8.3,9.2,6.1,37.8,6.0,21.099999999999998,8.3,14.7,8.6,227.1
2011,90066,8.0,7.3,8.1,38.7,7.0,29.9,7.1,15.7,9.0,283.8
2011,90067,6.3,3.1,16.0,0.0,3.3,30.5,4.4,,0.0,153.4
2011,90068,9.1,9.5,8.2,58.7,6.4,44.7,9.5,2.8,8.9,304.20000000000005
2011,90069,7.8,7.9,8.3,17.3,6.3,27.2,7.7,5.5,7.9,179.8
2011,90071,,,,,,,,,,
2011,90073,26.4,33.8,,100.0,32.4,22.2,81.3,0.0,47.4,79.2
2011,90077,6.4,9.9,3.5,30.6,12.0,12.7,6.9,4.5,0.0,113.0
2011,90079,,,,,,,,,,
2011,90089,9.0,13.6,3.1,13.6,0.0,66.7,13.1,0.0,27.5,300.9
2011,90090,,,,,,,,,,
2011,90094,15.7,16.6,15.1,8.2,13.2,78.7,12.0,50.0,0.0,282.0
2011,90095,,,,,,,,,,
2011,90210,5.4,2.6,8.9,70.8,7.0,11.700000000000001,5.6,23.9,8.0,146.7
2011,90211,9.8,5.9,13.0,29.2,8.7,42.3,11.0,0.0,5.5,139.8
2011,90212,9.0,9.7,7.0,32.7,9.7,34.7,8.9,0.0,7.6,336.9
2011,90230,8.9,7.0,8.7,72.4,6.0,35.1,8.8,9.2,13.1,326.3
2011,90232,7.6,6.8,8.9,16.3,8.5,18.700000000000003,6.9,2.4,10.6,289.79999999999995
2011,90245,5.4,6.5,4.2,10.8,4.6,13.0,5.5,22.1,3.6,232.29999999999998
2011,90247,10.7,10.4,8.9,55.1,10.0,34.9,11.2,11.3,13.5,288.0
2011,90248,10.4,14.6,5.8,31.2,12.4,14.2,7.6,17.8,10.3,265.4
2011,90250,7.7,7.3,7.2,38.5,6.8,23.0,4.3,10.3,6.8,259.8
2011,90262,11.8,10.7,10.9,58.099999999999994,10.0,14.6,12.3,15.3,11.7,260.8
2011,90265,7.3,8.4,7.6,19.7,9.3,17.2,6.6,21.2,9.7,153.4
2011,90272,9.5,7.7,11.7,73.1,9.1,32.3,9.4,0.0,20.9,304.0
2011,90275,5.9,4.6,7.6,45.599999999999994,6.3,14.899999999999999,5.1,6.6,6.1,202.9
2011,90280,13.2,10.7,13.1,63.1,10.8,27.0,12.6,9.6,13.2,353.0
2011,90290,6.2,7.6,4.5,26.8,11.1,14.100000000000001,6.4,0.0,4.1,212.5
2011,90291,8.8,9.6,6.6,48.4,7.1,32.9,8.3,14.7,10.4,274.7
2011,90292,6.5,6.0,6.5,19.0,5.2,39.3,6.1,4.6,9.7,399.6
2011,90293,4.0,4.4,4.0,10.2,3.4,10.200000000000001,3.9,10.9,0.0,150.79999999999998
2011,90301,12.5,9.7,12.2,72.5,8.4,43.0,9.6,15.1,10.4,221.29999999999998
