year,zip_code,population,population_male,population_female,population_age_below_24,population_age_between_25_44,population_age_above_45
2011,90001,54760.0,26996.0,27764.0,25550.0,16976.0,12234.0
2011,90002,46509.0,22471.0,24038.0,23095.0,12643.0,10771.0
2011,90003,66183.0,32017.0,34166.0,32393.0,18585.0,15205.0
2011,90004,63932.0,32396.0,31536.0,20293.0,22629.0,21010.0
2011,90005,41178.0,21558.0,19620.0,12821.0,15986.0,12371.0
2011,90006,57912.0,30013.0,27899.0,21136.0,19560.0,17216.0
2011,90007,42265.0,20972.0,21293.0,23169.0,11062.0,8034.0
2011,90008,34429.0,15135.0,19294.0,11573.0,8313.0,14543.0
2011,90010,3229.0,1601.0,1628.0,468.0,1314.0,1447.0
2011,90011,101523.0,51794.0,49729.0,47213.0,32325.0,21985.0
2011,90012,29298.0,17893.0,11405.0,7627.0,11063.0,10608.0
2011,90013,8216.0,4984.0,3232.0,1069.0,3110.0,4037.0
2011,90014,5204.0,3072.0,2132.0,369.0,2139.0,2696.0
2011,90015,17957.0,9339.0,8618.0,6823.0,6253.0,4881.0
2011,90016,46871.0,22290.0,24581.0,17496.0,14320.0,15055.0
2011,90017,22401.0,11840.0,10561.0,9037.0,8286.0,5078.0
2011,90018,48212.0,23054.0,25158.0,17979.0,14431.0,15802.0
2011,90019,63894.0,30962.0,32932.0,19795.0,20850.0,23249.0
2011,90020,40596.0,20069.0,20527.0,11748.0,16944.0,11904.0
2011,90021,2603.0,1797.0,806.0,340.0,775.0,1488.0
2011,90023,44706.0,22554.0,22152.0,19761.0,13649.0,11296.0
2011,90024,49427.0,22855.0,26572.0,26439.0,11054.0,11934.0
2011,90025,42653.0,21963.0,20690.0,9832.0,19553.0,13268.0
2011,90026,70052.0,35936.0,34116.0,22238.0,25741.0,22073.0
2011,90027,45491.0,22691.0,22800.0,9273.0,17748.0,18470.0
2011,90028,27434.0,15038.0,12396.0,6974.0,12020.0,8440.0
2011,90029,38563.0,19445.0,19118.0,11742.0,13509.0,13312.0
2011,90031,39076.0,19399.0,19677.0,14111.0,11810.0,13155.0
2011,90032,48729.0,24257.0,24472.0,19836.0,13469.0,15424.0
2011,90033,49102.0,24180.0,24922.0,22141.0,13874.0,13087.0
2011,90034,59662.0,30174.0,29488.0,16299.0,27597.0,15766.0
2011,90035,29113.0,13559.0,15554.0,7078.0,10828.0,11207.0
2011,90036,36124.0,17457.0,18667.0,8617.0,16822.0,10685.0
2011,90037,60639.0,30147.0,30492.0,26622.0,18578.0,15439.0
2011,90038,30498.0,15855.0,14643.0,10057.0,12006.0,8435.0
2011,90039,29262.0,15227.0,14035.0,7889.0,10849.0,10524.0
2011,90041,28857.0,13389.0,15468.0,9482.0,7810.0,11565.0
2011,90042,63424.0,31455.0,31969.0,21061.0,21146.0,21217.0
2011,90043,44042.0,20290.0,23752.0,15225.0,10850.0,17967.0
2011,90044,88164.0,41483.0,46681.0,39822.0,23964.0,24378.0
2011,90045,40150.0,19564.0,20586.0,14298.0,11687.0,14165.0
2011,90046,49212.0,25876.0,23336.0,8363.0,22292.0,18557.0
2011,90047,47550.0,21796.0,25754.0,17350.0,11821.0,18379.0
2011,90048,20931.0,9947.0,10984.0,3636.0,9459.0,7836.0
2011,90049,36451.0,16624.0,19827.0,8522.0,11364.0,16565.0
2011,90056,8108.0,3604.0,4504.0,1952.0,1700.0,4456.0
2011,90057,43808.0,23031.0,20777.0,15333.0,16411.0,12064.0
2011,90058,3484.0,1633.0,1851.0,1728.0,954.0,802.0
2011,90059,40209.0,18494.0,21715.0,20128.0,10350.0,9731.0
2011,90061,26952.0,13144.0,13808.0,12253.0,7165.0,7534.0
2011,90062,30710.0,14111.0,16599.0,11651.0,8649.0,10410.0
2011,90063,52883.0,26247.0,26636.0,22253.0,16484.0,14146.0
2011,90064,25633.0,12430.0,13203.0,7122.0,8058.0,10453.0
2011,90065,46844.0,24714.0,22130.0,15617.0,14410.0,16817.0
2011,90066,56210.0,28048.0,28162.0,14875.0,20864.0,20471.0
2011,90067,2468.0,1039.0,1429.0,283.0,523.0,1662.0
2011,90068,22048.0,12241.0,9807.0,3827.0,9648.0,8573.0
2011,90069,19789.0,11361.0,8428.0,1692.0,8795.0,9302.0
2011,90071,0.0,0.0,0.0,0.0,0.0,0.0
2011,90073,560.0,416.0,144.0,37.0,100.0,423.0
2011,90077,8571.0,4169.0,4402.0,2443.0,1450.0,4678.0
2011,90079,0.0,0.0,0.0,0.0,0.0,0.0
2011,90089,3516.0,1471.0,2045.0,3301.0,149.0,66.0
2011,90090,0.0,0.0,0.0,0.0,0.0,0.0
2011,90094,4994.0,2398.0,2596.0,1082.0,2623.0,1289.0
2011,90095,0.0,0.0,0.0,0.0,0.0,0.0
