year,zip_code,crimes_count,victims_count,victims_count_male,victims_count_female,victims_count_age_below_24,victims_count_age_between_25_44,victims_count_age_above_45,victims_count_white,victims_count_black,victims_count_hispanic,victims_count_other_races
2010,90001,753,625,297,350,317,275,161,16.0,254.0,348.0,31.0
2010,90002,2349,2047,845,1280,989,884,476,44.0,987.0,1021.0,73.0
2010,90003,5908,4871,2276,2838,2519,2229,1160,130.0,2325.0,2461.0,208.0
2010,90004,2843,2289,1309,1172,1108,1076,659,553.0,194.0,1113.0,622.0
2010,90005,1616,1321,776,682,592,651,373,245.0,170.0,604.0,441.0
2010,90006,2774,2212,1337,1168,1200,965,609,181.0,231.0,1586.0,507.0
2010,90007,2699,2262,1206,1163,1433,815,451,509.0,539.0,1007.0,316.0
2010,90008,2830,2520,1155,1460,908,1084,838,82.0,1870.0,525.0,138.0
2010,90010,693,575,380,269,251,275,167,111.0,81.0,197.0,262.0
2010,90011,5109,4007,2175,2287,2478,1761,870,122.0,1057.0,3132.0,151.0
2010,90012,1617,1368,827,643,562,666,389,335.0,192.0,593.0,352.0
2010,90013,1980,1800,1205,710,421,783,776,452.0,640.0,559.0,264.0
2010,90014,833,775,539,275,176,347,310,180.0,201.0,298.0,135.0
2010,90015,2527,2070,1319,980,945,1058,524,444.0,283.0,1219.0,354.0
2010,90016,2856,2510,1251,1343,931,1112,813,190.0,1333.0,912.0,169.0
2010,90017,1927,1656,1049,776,815,774,338,309.0,265.0,1014.0,237.0
2010,90018,2531,2166,971,1262,897,926,708,108.0,1137.0,868.0,124.0
2010,90019,2942,2515,1283,1328,1022,1122,798,365.0,891.0,989.0,398.0
2010,90020,1182,961,576,473,433,482,267,168.0,112.0,329.0,443.0
2010,90021,1280,927,726,374,493,461,326,190.0,203.0,541.0,166.0
2010,90023,1483,951,687,467,867,414,202,173.0,8.0,927.0,49.0
2010,90024,1000,876,479,454,328,365,307,546.0,43.0,84.0,266.0
2010,90025,1709,1506,904,703,448,771,490,880.0,90.0,217.0,430.0
2010,90026,3357,2767,1494,1427,1290,1361,706,854.0,180.0,1537.0,350.0
2010,90027,2555,2053,1348,976,872,1054,629,1173.0,162.0,526.0,464.0
2010,90028,4047,3310,2373,1458,1713,1694,640,1735.0,493.0,781.0,822.0
2010,90029,1750,1459,866,690,619,715,416,409.0,99.0,806.0,243.0
2010,90031,1432,1099,635,593,626,458,348,200.0,37.0,861.0,130.0
2010,90032,1471,1093,600,613,661,506,304,166.0,40.0,903.0,104.0
2010,90033,2294,1794,1021,984,1072,801,421,209.0,65.0,1622.0,110.0
2010,90034,2134,1779,948,902,703,877,554,795.0,289.0,422.0,350.0
2010,90035,1292,1138,632,563,315,544,433,619.0,171.0,158.0,251.0
2010,90036,1903,1618,915,763,606,872,425,847.0,220.0,255.0,412.0
2010,90037,4317,3621,1720,2072,1870,1538,909,173.0,1485.0,1966.0,175.0
2010,90038,1618,1334,897,585,626,690,302,532.0,147.0,570.0,235.0
2010,90039,1233,991,647,457,398,519,316,469.0,33.0,397.0,205.0
2010,90041,1157,870,565,444,481,363,313,387.0,28.0,390.0,204.0
2010,90042,2338,1949,1014,1093,901,881,556,422.0,92.0,1385.0,208.0
2010,90043,2672,2408,1092,1365,906,947,819,78.0,1792.0,497.0,98.0
2010,90044,4368,3795,1671,2219,1645,1680,1043,105.0,2065.0,1606.0,125.0
2010,90045,3071,2452,1494,1173,1036,1130,905,1264.0,539.0,373.0,500.0
2010,90046,1340,1132,682,528,381,675,284,789.0,89.0,124.0,214.0
2010,90047,2988,2648,1204,1515,1036,1125,827,72.0,1891.0,642.0,123.0
2010,90048,1164,1018,531,520,311,546,307,580.0,102.0,161.0,251.0
2010,90049,984,890,453,463,206,384,394,663.0,36.0,62.0,157.0
2010,90056,21,20,14,6,3,6,12,5.0,14.0,1.0,0.0
2010,90057,2499,2155,1250,1055,943,1017,539,240.0,261.0,1465.0,340.0
2010,90058,297,208,115,121,139,98,60,9.0,46.0,168.0,14.0
2010,90059,2108,1887,718,1218,785,873,450,48.0,1027.0,814.0,47.0
2010,90061,1711,1460,696,835,725,616,370,59.0,819.0,564.0,89.0
2010,90062,2319,2047,937,1173,890,837,592,57.0,1196.0,768.0,93.0
2010,90063,401,308,143,189,189,122,90,19.0,2.0,303.0,8.0
2010,90064,1357,1128,681,572,404,514,439,687.0,88.0,197.0,295.0
2010,90065,1820,1432,880,716,709,638,473,395.0,60.0,935.0,208.0
2010,90066,1634,1353,829,663,506,641,487,841.0,81.0,323.0,252.0
2010,90067,127,113,73,48,35,40,52,81.0,13.0,8.0,21.0
2010,90068,1190,1016,601,476,325,534,331,745.0,85.0,96.0,151.0
2010,90069,293,264,171,102,62,140,91,194.0,22.0,23.0,34.0
2010,90071,186,173,108,76,43,105,38,68.0,28.0,59.0,29.0
2010,90073,40,36,15,22,9,12,19,25.0,1.0,4.0,7.0
2010,90077,156,147,82,71,18,47,91,110.0,2.0,12.0,29.0
2010,90079,1,1,0,1,1,0,0,0.0,0.0,1.0,0.0
2010,90089,347,323,212,123,201,97,49,134.0,46.0,68.0,88.0
2010,90090,74,56,41,21,29,35,10,19.0,2.0,33.0,8.0
2010,90094,124,107,66,48,31,64,29,61.0,18.0,9.0,26.0
2010,90095,22,21,17,5,5,10,7,7.0,3.0,6.0,6.0
2010,90210,172,153,74,87,36,65,71,99.0,12.0,12.0,38.0
2010,90211,26,24,15,10,6,14,6,14.0,1.0,1.0,10.0
2010,90230,421,352,194,175,146,146,129,112.0,32.0,189.0,39.0
2010,90232,50,45,27,21,20,13,17,17.0,9.0,16.0,7.0
2010,90245,6,6,6,0,0,2,4,1.0,0.0,4.0,1.0
2010,90247,448,352,165,202,189,153,106,22.0,115.0,183.0,47.0
2010,90248,269,187,136,83,113,69,87,45.0,40.0,69.0,65.0
2010,90262,4,4,2,2,1,3,0,0.0,3.0,1.0,0.0
2010,90272,560,519,255,287,95,195,270,421.0,20.0,25.0,77.0
2010,90275,4,4,3,1,1,0,3,2.0,0.0,1.0,1.0
2010,90291,2373,2032,1334,870,683,1098,592,1505.0,186.0,290.0,231.0
2010,90292,424,350,189,182,105,175,144,256.0,37.0,31.0,47.0
2010,90293,423,376,208,185,104,192,127,249.0,42.0,39.0,63.0
2010,90305,3,3,0,3,0,0,3,0.0,3.0,0.0,0.0
2010,90402,56,53,31,22,9,20,27,48.0,1.0,4.0,0.0
2010,90404,11,10,3,7,2,8,1,4.0,2.0,3.0,1.0
2010,90405,24,21,9,12,5,11,8,17.0,0.0,2.0,2.0
2010,90501,586,457,290,214,251,219,116,102.0,86.0,214.0,102.0
2010,90502,174,93,102,53,106,55,13,20.0,28.0,38.0,69.0
2010,90710,725,576,301,323,280,275,170,153.0,110.0,249.0,112.0
2010,90717,75,54,39,28,36,22,17,21.0,4.0,20.0,22.0
2010,90731,3777,3108,1777,1643,1319,1306,1152,1342.0,309.0,1303.0,470.0
2010,90732,672,577,317,296,166,225,281,347.0,33.0,143.0,90.0
