year,zip_code,population_white,population_black,population_hispanic,population_other_races
2011,90001,40379.0,4943.0,49339.0,9438.0
2011,90002,28035.0,12844.0,33232.0,5630.0
2011,90003,31870.0,16596.0,48261.0,17717.0
2011,90004,23007.0,2075.0,32551.0,38850.0
2011,90005,10152.0,2625.0,22426.0,28401.0
2011,90006,18614.0,1910.0,43989.0,37388.0
2011,90007,14748.0,4437.0,23388.0,23080.0
2011,90008,2343.0,25858.0,6171.0,6228.0
2011,90010,713.0,53.0,471.0,2463.0
2011,90011,26429.0,8860.0,91184.0,66234.0
2011,90012,7628.0,3385.0,8207.0,18285.0
2011,90013,3046.0,2726.0,1624.0,2444.0
2011,90014,1942.0,1255.0,998.0,2007.0
2011,90015,5863.0,1017.0,13153.0,11077.0
2011,90016,9739.0,18056.0,25191.0,19076.0
2011,90017,7187.0,1276.0,16202.0,13938.0
2011,90018,7486.0,16820.0,27271.0,23906.0
2011,90019,23026.0,14656.0,28692.0,26212.0
2011,90020,10303.0,2277.0,14167.0,28016.0
2011,90021,1248.0,684.0,1165.0,671.0
2011,90023,21521.0,227.0,43124.0,22958.0
2011,90024,30422.0,1428.0,4848.0,17577.0
2011,90025,25331.0,1463.0,8178.0,15859.0
2011,90026,37835.0,2197.0,40033.0,30020.0
2011,90027,31535.0,1413.0,9852.0,12543.0
2011,90028,16240.0,1621.0,8746.0,9573.0
2011,90029,15638.0,1565.0,22651.0,21360.0
2011,90031,14805.0,590.0,25839.0,23681.0
2011,90032,27953.0,908.0,39362.0,19868.0
2011,90033,26684.0,659.0,45009.0,21759.0
2011,90034,32358.0,5213.0,17735.0,22091.0
2011,90035,21504.0,3088.0,2877.0,4521.0
2011,90036,23480.0,2442.0,3513.0,10202.0
2011,90037,10194.0,12835.0,45985.0,37610.0
2011,90038,12865.0,1563.0,17734.0,16070.0
2011,90039,17777.0,604.0,12443.0,10881.0
2011,90041,15426.0,850.0,10893.0,12581.0
2011,90042,39252.0,1561.0,43257.0,22611.0
2011,90043,5896.0,28926.0,12103.0,9220.0
2011,90044,24119.0,34833.0,51019.0,29212.0
2011,90045,24050.0,6100.0,7078.0,10000.0
2011,90046,40643.0,1758.0,4989.0,6811.0
2011,90047,6910.0,32545.0,13668.0,8095.0
2011,90048,17950.0,628.0,1382.0,2353.0
2011,90049,30956.0,305.0,2407.0,5190.0
2011,90056,1150.0,6360.0,207.0,598.0
2011,90057,13916.0,1872.0,30124.0,28020.0
2011,90058,1101.0,494.0,2744.0,1889.0
2011,90059,12296.0,14338.0,24870.0,13575.0
2011,90061,12738.0,10086.0,16725.0,4128.0
2011,90062,4611.0,11437.0,18027.0,14662.0
2011,90063,28676.0,199.0,51364.0,24008.0
2011,90064,18181.0,603.0,3443.0,6849.0
2011,90065,22364.0,945.0,30685.0,23535.0
2011,90066,35205.0,3034.0,17188.0,17971.0
2011,90067,1944.0,4.0,162.0,520.0
2011,90068,17535.0,1228.0,2098.0,3285.0
2011,90069,16971.0,494.0,2359.0,2324.0
2011,90071,0.0,0.0,0.0,0.0
2011,90073,207.0,189.0,109.0,164.0
2011,90077,7621.0,208.0,298.0,742.0
