year,zip_code,median_gross_rent
2011,90001,952.0
2011,90002,918.0
2011,90003,974.0
2011,90004,1004.0
2011,90005,910.0
2011,90006,868.0
2011,90007,911.0
2011,90008,986.0
2011,90010,1557.0
2011,90011,940.0
2011,90012,960.0
2011,90013,489.0
2011,90014,361.0
2011,90015,779.0
2011,90016,1010.0
2011,90017,769.0
2011,90018,928.0
2011,90019,1100.0
2011,90020,1085.0
2011,90021,422.0
2011,90023,942.0
2011,90024,1746.0
2011,90025,1487.0
2011,90026,1002.0
2011,90027,1125.0
2011,90028,1015.0
2011,90029,933.0
2011,90031,912.0
2011,90032,980.0
2011,90033,870.0
2011,90034,1341.0
2011,90035,1547.0
2011,90036,1766.0
2011,90037,866.0
2011,90038,985.0
2011,90039,1199.0
2011,90041,1157.0
2011,90042,1057.0
2011,90043,973.0
2011,90044,942.0
2011,90045,1595.0
2011,90046,1296.0
2011,90047,949.0
2011,90048,1620.0
2011,90049,1759.0
2011,90056,1565.0
2011,90057,865.0
2011,90058,703.0
2011,90059,893.0
2011,90061,1019.0
2011,90062,973.0
2011,90063,922.0
2011,90064,1567.0
2011,90065,987.0
2011,90066,1308.0
2011,90067,
2011,90068,1355.0
2011,90069,1429.0
2011,90071,
2011,90073,
2011,90077,1965.0
2011,90079,
2011,90089,1021.0
2011,90090,
2011,90094,
2011,90095,
2011,90210,1858.0
2011,90211,1749.0
2011,90212,1902.0
2011,90230,1398.0
2011,90232,1343.0
2011,90245,1452.0
2011,90247,1020.0
2011,90248,1058.0
2011,90250,1000.0
2011,90262,989.0
2011,90265,
2011,90272,
2011,90275,
2011,90280,987.0
2011,90290,1960.0
2011,90291,1502.0
2011,90292,
2011,90293,1781.0
2011,90301,988.0
2011,90302,1072.0
2011,90304,937.0
2011,90305,1162.0
2011,90402,1869.0
2011,90403,1541.0
2011,90404,1324.0
2011,90405,1448.0
2011,90501,1153.0
2011,90502,1160.0
2011,90504,1324.0
2011,90710,1049.0
2011,90717,1163.0
2011,90731,1060.0
2011,90732,1510.0
2011,90744,947.0
2011,90745,1243.0
2011,90802,994.0
2011,90810,968.0
2011,90813,932.0
2011,91011,
2011,91030,1399.0
2011,91040,1196.0
2011,91042,1131.0
2011,91105,1650.0
2011,91201,1273.0
2011,91204,1106.0
2011,91205,1169.0
2011,91206,1257.0
2011,91214,1567.0
2011,91302,1852.0
2011,91303,1187.0
2011,91304,1178.0
2011,91306,1123.0
