year,zip_code,median_income,median_income_male,median_income_female,median_income_age_below_24,median_income_age_between_25_44,median_income_age_above_45,median_income_white,median_income_black,median_income_hispanic,median_income_other_races
2011,90001,36386.0,36728.25,22867.75,31305.5,35820.0,35738.0,37207.0,29362.0,37959.0,41646.333333333336
2011,90002,31810.0,21993.75,23902.75,29963.0,32843.0,29219.5,26502.0,21941.0,39604.0,37257.5
2011,90003,28334.0,24414.75,24673.0,24087.5,26838.0,30473.0,36817.5,22061.0,34326.0,33979.8
2011,90004,37839.0,38894.75,32204.5,28974.5,38494.0,35887.0,55670.0,31113.0,30059.0,32268.8
2011,90005,32955.0,35080.5,28266.5,27931.0,34685.0,25732.5,36217.5,35558.0,31123.0,55175.0
2011,90006,29594.0,25261.25,21731.0,30123.0,30920.0,24160.0,32422.5,19881.0,29172.0,32448.0
2011,90007,22049.0,20257.25,14699.25,17014.0,27722.0,23819.5,17419.0,17010.0,29802.0,26018.75
2011,90008,37798.0,39898.25,32313.0,34607.0,42286.0,36015.0,44740.5,39405.0,30869.0,41634.25
2011,90010,50288.0,44988.75,45112.0,51503.5,54217.0,41105.0,62897.5,55069.0,47120.0,47044.666666666664
2011,90011,30118.0,24036.5,19860.75,29992.5,27736.0,27528.0,45519.0,19815.0,31709.0,36204.4
2011,90012,25028.0,43081.0,26494.75,22570.0,49398.0,21576.0,66253.5,30532.0,27068.0,25097.25
2011,90013,16284.0,29339.666666666668,49600.5,20668.0,42500.0,11965.0,46522.5,12049.0,10429.0,16278.5
2011,90014,12015.0,25761.75,20784.75,43303.0,37797.0,10836.5,26938.0,5147.0,14451.0,16855.25
2011,90015,25911.0,29752.25,18655.0,21061.0,33770.0,19407.5,46683.0,30132.0,23656.0,23767.75
2011,90016,35858.0,29823.25,28280.75,29463.5,35802.0,33391.0,57842.0,29730.0,39804.0,40916.4
2011,90017,21050.0,26437.75,18002.0,17620.5,25040.0,17788.5,32861.5,11505.0,20322.0,29505.4
2011,90018,35126.0,36317.75,24558.0,32234.5,35168.0,31229.5,54118.5,32053.0,37117.0,46338.2
2011,90019,40727.0,39324.75,39839.75,36364.0,44683.0,36913.5,62874.0,40392.0,32480.0,55636.4
2011,90020,39103.0,40990.5,33072.75,31624.0,41112.0,31620.0,45228.5,36283.0,34580.0,41283.6
2011,90021,13576.0,75808.33333333333,50968.666666666664,18000.0,26695.0,12083.0,28824.0,10789.0,18000.0,27935.333333333332
2011,90023,33340.0,29142.25,22176.0,28246.0,32802.0,30104.5,31528.5,38506.0,33815.0,31089.25
2011,90024,67151.0,60007.75,42075.25,81147.0,73938.0,103445.0,79771.5,80458.0,50245.0,40504.5
2011,90025,71947.0,69199.0,61575.75,60992.5,83163.0,62516.0,74195.0,80217.0,52346.0,66270.0
2011,90026,45560.0,49771.0,46251.5,32420.5,51368.0,38151.5,56615.0,30357.0,35462.0,40654.6
2011,90027,47980.0,56261.5,43258.25,41987.0,60074.0,35346.5,48662.5,28813.0,36717.0,69996.75
2011,90028,31415.0,39573.0,29319.0,22540.5,42947.0,22397.0,31956.0,24655.0,35067.0,30139.0
2011,90029,36281.0,35572.5,28966.0,30955.0,42955.0,27985.5,37329.0,29315.0,33415.0,34677.75
2011,90031,34597.0,34473.5,26327.0,29621.0,36922.0,30548.0,44909.0,26563.0,33152.0,34396.6
2011,90032,44759.0,46488.25,28363.25,35485.5,47887.0,41982.5,49830.0,41413.0,43259.0,41351.25
2011,90033,29524.0,26148.0,19187.0,28169.5,31512.0,26758.0,30127.5,21213.0,30710.0,32093.2
2011,90034,57577.0,50680.25,54183.25,49448.5,64457.0,48353.5,63983.5,52762.0,40672.0,57920.2
2011,90035,70273.0,62821.0,50709.25,81222.5,87547.0,49980.0,73448.5,39271.0,73250.0,70116.75
2011,90036,72981.0,73411.5,61557.5,60157.5,80183.0,64564.0,72453.0,72321.0,55500.0,77910.25
2011,90037,28377.0,25865.5,21449.75,25219.0,27683.0,28169.5,41733.5,23813.0,31390.0,21881.75
2011,90038,34723.0,34107.5,36466.5,31472.5,42263.0,25834.0,39151.0,24487.0,32061.0,33876.5
2011,90039,64533.0,65546.5,46830.75,50427.5,72136.0,49665.0,70994.5,69453.0,43618.0,78174.75
2011,90041,62700.0,45288.5,49299.25,59338.0,77030.0,51507.0,65176.5,67639.0,50250.0,63693.5
2011,90042,53283.0,49260.75,47013.0,40601.5,58593.0,44955.5,59987.5,49813.0,46673.0,50363.25
2011,90043,42379.0,31497.0,29104.25,31095.0,41290.0,42278.5,66220.0,41964.0,42330.0,48365.5
2011,90044,29459.0,27102.0,21098.75,23164.0,30824.0,27829.0,32243.5,25185.0,34288.0,40318.6
2011,90045,80311.0,70039.75,39602.0,63865.0,85713.0,73594.0,95719.5,46397.0,93214.0,57289.8
2011,90046,51929.0,74462.75,41087.5,68811.5,63802.0,36354.0,50796.0,53000.0,47394.0,54696.75
2011,90047,43538.0,53806.5,29551.75,36004.0,44745.0,42708.0,55441.0,42338.0,44128.0,62369.5
2011,90048,77855.0,84782.5,63985.0,76804.5,89563.0,63318.0,78697.0,68571.0,66125.0,72838.0
2011,90049,113158.0,116858.25,84960.75,141202.0,106623.0,130275.5,116950.5,20399.0,90232.0,85019.0
2011,90056,91288.0,84151.5,64533.5,98889.0,71477.0,103417.5,98347.0,88839.0,49607.0,70022.0
