quarter,zip_code,tract
2010_03,90001,06037239200
2010_03,90001,06037239330
2010_03,90001,06037239500
2010_03,90001,06037239800
2010_03,90001,06037240010
2010_03,90001,06037532700
2010_03,90001,06037532800
2010_03,90001,06037532900
2010_03,90001,06037533000
2010_03,90001,06037534900
2010_03,90001,06037535000
2010_03,90001,06037535101
2010_03,90001,06037535102
2010_03,90001,06037535300
2010_03,90002,06037240010
2010_03,90002,06037240020
2010_03,90002,06037240700
2010_03,90002,06037240800
2010_03,90002,06037242000
2010_03,90002,06037242100
2010_03,90002,06037242200
2010_03,90002,06037242300
2010_03,90002,06037242700
2010_03,90002,06037243000
2010_03,90002,06037535102
2010_03,90002,06037535200
2010_03,90002,06037535300
2010_03,90002,06037535400
2010_03,90002,06037540300
2010_03,90003,06037232700
2010_03,90003,06037237100
2010_03,90003,06037237600
2010_03,90003,06037237710
2010_03,90003,06037237720
2010_03,90003,06037238310
2010_03,90003,06037238320
2010_03,90003,06037239200
2010_03,90003,06037239310
2010_03,90003,06037239320
2010_03,90003,06037239330
2010_03,90003,06037239500
2010_03,90003,06037239600
2010_03,90003,06037239700
2010_03,90003,06037239800
2010_03,90003,06037240010
2010_03,90003,06037240020
2010_03,90003,06037240200
2010_03,90003,06037240300
2010_03,90003,06037240400
2010_03,90003,06037240500
2010_03,90003,06037240600
2010_03,90003,06037240700
2010_03,90003,06037240800
2010_03,90003,06037240900
2010_03,90003,06037241110
2010_03,90003,06037241200
2010_03,90004,06037191900
2010_03,90004,06037192300
2010_03,90004,06037192410
2010_03,90004,06037192420
2010_03,90004,06037192510
2010_03,90004,06037192520
2010_03,90004,06037192610
2010_03,90004,06037192620
2010_03,90004,06037192700
2010_03,90004,06037195802
2010_03,90004,06037195900
2010_03,90004,06037208610
2010_03,90004,06037211000
2010_03,90004,06037211110
2010_03,90004,06037211200
2010_03,90004,06037211310
2010_03,90004,06037211320
2010_03,90004,06037211410
2010_03,90004,06037211420
2010_03,90004,06037211500
2010_03,90004,06037214100
2010_03,90005,06037209401
2010_03,90005,06037211000
2010_03,90005,06037211120
2010_03,90005,06037211701
2010_03,90005,06037211702
2010_03,90005,06037211802
2010_03,90005,06037212100
2010_03,90005,06037212202
2010_03,90005,06037212203
2010_03,90005,06037212204
2010_03,90005,06037212303
2010_03,90005,06037212304
2010_03,90005,06037212305
2010_03,90005,06037212306
2010_03,90005,06037212410
2010_03,90005,06037212420
2010_03,90005,06037212500
2010_03,90005,06037212610
2010_03,90005,06037212620
2010_03,90005,06037212700
2010_03,90005,06037216100
2010_03,90006,06037209401
2010_03,90006,06037209402
2010_03,90006,06037209510
2010_03,90006,06037209520
2010_03,90006,06037209810
2010_03,90006,06037209820
2010_03,90006,06037212202
2010_03,90006,06037212305
2010_03,90006,06037212306
2010_03,90006,06037212420
2010_03,90006,06037212500
2010_03,90006,06037212620
2010_03,90006,06037213100
2010_03,90006,06037213201
2010_03,90006,06037213202
2010_03,90006,06037213310
2010_03,90006,06037213320
2010_03,90006,06037213401
2010_03,90006,06037213402
2010_03,90006,06037221110
2010_03,90006,06037221120
2010_03,90006,06037221210
2010_03,90006,06037221220
2010_03,90006,06037221301
2010_03,90006,06037221302
2010_03,90006,06037221710
2010_03,90006,06037224310
2010_03,90006,06037224320
2010_03,90007,06037221120
2010_03,90007,06037221220
2010_03,90007,06037221500
2010_03,90007,06037221600
2010_03,90007,06037221710
2010_03,90007,06037221810
2010_03,90007,06037221820
2010_03,90007,06037221900
2010_03,90007,06037222100
2010_03,90007,06037222200
2010_03,90007,06037222500
2010_03,90007,06037222600
2010_03,90007,06037222700
2010_03,90007,06037224020
2010_03,90007,06037224320
2010_03,90007,06037224410
2010_03,90007,06037224420
2010_03,90007,06037224600
2010_03,90007,06037224700
2010_03,90007,06037228410
2010_03,90007,06037231100
2010_03,90007,06037231210
2010_03,90007,06037231220
2010_03,90008,06037234000
2010_03,90008,06037234200
2010_03,90008,06037234300
2010_03,90008,06037234500
2010_03,90008,06037236000
2010_03,90008,06037236100
2010_03,90008,06037236201
2010_03,90008,06037236202
2010_03,90008,06037236400
2010_03,90008,06037703100
2010_03,90008,06037703200
2010_03,90010,06037211000
2010_03,90010,06037211120
2010_03,90010,06037211701
2010_03,90010,06037211702
2010_03,90010,06037211802
2010_03,90010,06037212100
2010_03,90010,06037212203
2010_03,90010,06037212204
2010_03,90010,06037212303
2010_03,90010,06037212304
2010_03,90010,06037212410
2010_03,90010,06037212500
2010_03,90010,06037212610
2010_03,90010,06037212700
2010_03,90011,06037224020
2010_03,90011,06037224600
2010_03,90011,06037226000
2010_03,90011,06037226410
2010_03,90011,06037226420
2010_03,90011,06037226700
2010_03,90011,06037227010
2010_03,90011,06037227020
2010_03,90011,06037228100
2010_03,90011,06037228210
2010_03,90011,06037228220
2010_03,90011,06037228310
2010_03,90011,06037228320
2010_03,90011,06037228410
2010_03,90011,06037228420
2010_03,90011,06037228500
2010_03,90011,06037228600
2010_03,90011,06037228710
2010_03,90011,06037228720
2010_03,90011,06037228800
2010_03,90011,06037228900
2010_03,90011,06037229100
2010_03,90011,06037229200
2010_03,90011,06037229300
2010_03,90011,06037229410
2010_03,90011,06037229420
2010_03,90011,06037239200
2010_03,90011,06037532700
2010_03,90011,06037532800
2010_03,90012,06037197110
2010_03,90012,06037197300
2010_03,90012,06037197600
2010_03,90012,06037197700
2010_03,90012,06037206010
2010_03,90012,06037206020
2010_03,90012,06037206030
2010_03,90012,06037206040
2010_03,90012,06037206200
2010_03,90012,06037207100
2010_03,90012,06037207300
2010_03,90012,06037207400
2010_03,90012,06037207500
2010_03,90012,06037208000
2010_03,90012,06037208300
2010_03,90013,06037206040
2010_03,90013,06037206050
2010_03,90013,06037206200
2010_03,90013,06037206300
2010_03,90013,06037207300
2010_03,90013,06037207500
2010_03,90013,06037207710
2010_03,90014,06037206300
2010_03,90014,06037207300
2010_03,90014,06037207710
2010_03,90014,06037226000
2010_03,90015,06037207300
2010_03,90015,06037207710
2010_03,90015,06037207900
2010_03,90015,06037209300
2010_03,90015,06037209403
2010_03,90015,06037209520
2010_03,90015,06037209820
2010_03,90015,06037210010
2010_03,90015,06037221710
2010_03,90015,06037224010
2010_03,90015,06037224020
2010_03,90015,06037224200
2010_03,90015,06037224320
2010_03,90015,06037224410
2010_03,90015,06037224420
2010_03,90015,06037226000
2010_03,90016,06037218210
2010_03,90016,06037218220
2010_03,90016,06037218300
2010_03,90016,06037218400
2010_03,90016,06037218500
2010_03,90016,06037218600
2010_03,90016,06037218700
2010_03,90016,06037219300
2010_03,90016,06037219500
2010_03,90016,06037219700
2010_03,90016,06037219800
2010_03,90016,06037219900
2010_03,90016,06037220000
2010_03,90016,06037220100
2010_03,90016,06037234200
2010_03,90016,06037236000
2010_03,90016,06037236100
2010_03,90016,06037236201
2010_03,90016,06037236202
2010_03,90016,06037270300
2010_03,90017,06037207710
2010_03,90017,06037207900
2010_03,90017,06037208300
2010_03,90017,06037208400
2010_03,90017,06037208902
2010_03,90017,06037208904
2010_03,90017,06037209101
2010_03,90017,06037209102
2010_03,90017,06037209200
2010_03,90017,06037209300
2010_03,90017,06037209403
2010_03,90018,06037218110
2010_03,90018,06037218120
2010_03,90018,06037218700
2010_03,90018,06037218800
2010_03,90018,06037218900
2010_03,90018,06037219010
2010_03,90018,06037219020
2010_03,90018,06037219300
2010_03,90018,06037219500
2010_03,90018,06037221210
2010_03,90018,06037221302
2010_03,90018,06037221400
2010_03,90018,06037221500
2010_03,90018,06037222000
2010_03,90018,06037222100
2010_03,90018,06037222200
