tract,total cars,total vans,total campers or rvs,total tents,total homeless individuals
101110,0,3,4,0,16
101122,1,0,0,0,4
101210,3,6,2,0,22
101220,2,0,3,0,14
101300,0,0,4,0,7
101400,0,0,0,0,4
102103,0,0,1,0,2
102104,0,0,0,0,0
102105,1,3,0,0,8
102107,3,0,7,0,20
103101,0,0,1,2,8
103102,0,0,0,0,3
103200,7,0,5,0,34
103300,0,0,0,0,1
103400,0,0,2,0,7
104103,0,0,0,0,0
104105,0,0,2,0,7
104108,1,2,6,0,19
104124,0,1,6,0,17
104201,3,1,3,0,13
104203,1,0,2,0,5
104204,0,0,3,0,5
104310,0,6,7,12,50
104320,0,0,3,0,128
104401,0,2,2,0,18
104403,0,5,0,1,20
104404,1,1,3,0,9
104500,2,0,0,0,4
104610,2,0,1,0,8
104620,4,0,0,0,9
104701,0,1,0,0,3
104703,0,6,17,0,50
104704,0,1,3,0,19
104810,1,2,5,0,14
104821,2,0,0,0,4
104822,0,0,4,0,7
106010,0,0,0,3,7
106020,0,0,0,0,0
106111,0,2,1,0,7
106112,7,13,13,0,62
106113,0,0,8,0,20
106114,0,2,2,0,18
106403,0,0,2,1,11
106405,0,0,1,0,5
106406,16,12,33,0,124
106407,4,0,0,0,21
106408,1,0,0,1,10
106510,8,2,20,0,56
106520,1,0,7,0,14
106603,0,0,0,0,0
106604,4,3,10,0,30
106641,0,0,0,0,0
106642,2,0,0,1,8
106643,0,0,0,0,0
106645,0,0,0,0,0
106646,0,0,0,0,0
106648,0,0,0,0,0
106649,0,0,1,0,4
107010,1,0,1,0,5
107020,0,0,3,0,5
108101,0,0,0,0,0
108102,0,0,0,0,0
108103,1,0,0,0,2
108104,0,0,1,0,2
108201,1,0,2,0,5
108202,0,0,0,0,0
109100,3,14,11,0,48
109200,0,0,0,0,0
109300,1,1,1,0,5
109400,0,0,5,0,9
109500,0,3,1,0,7
109601,2,3,6,0,22
109603,0,1,5,0,12
109604,2,0,1,0,12
109700,0,1,2,0,10
109800,0,0,0,0,0
111100,0,0,0,0,0
111201,2,0,2,0,9
111202,0,1,3,0,8
111204,1,0,0,0,2
111205,0,0,0,0,0
111206,0,0,0,0,2
111301,0,0,3,0,15
111302,0,0,1,0,2
111400,1,0,1,0,3
113101,0,0,2,0,5
113102,0,0,0,0,6
113211,0,0,5,0,9
113212,0,0,6,0,12
113213,2,0,5,0,12
113231,0,0,0,0,0
113232,0,0,0,0,0
113233,0,0,3,0,9
113234,2,1,3,2,18
113235,0,0,0,0,0
113237,2,1,7,0,22
113301,0,0,1,0,2
113303,2,1,37,2,94
113321,0,0,0,0,0
113322,0,0,1,0,2
113401,1,0,9,0,19
113421,6,1,10,1,41
113422,1,1,2,0,8
115101,1,0,1,0,9
115103,0,0,0,0,0
115104,0,0,0,0,0
115201,0,0,1,0,4
115202,1,1,12,0,63
115301,0,1,2,0,10
115302,0,0,0,0,0
115401,0,0,0,0,0
